city_ascii,lat,lng,country,admin_name
Zhanjiang,21.1967,110.4031,China,Guangdong
Riyadh,24.65,46.71,Saudi Arabia,Ar Riyāḑ
Cangzhou,38.3037,116.8452,China,Hebei
Dar es Salaam,-6.8,39.2833,Tanzania,Dar es Salaam
Maoming,21.6618,110.9178,China,Guangdong
Huanggang,30.45,114.875,China,Hubei
Xinyang,32.1264,114.0672,China,Henan
Shangrao,28.4419,117.9633,China,Jiangxi
Luoyang,34.6587,112.4245,China,Henan
Bijie,27.3019,105.2863,China,Guizhou
Yantai,37.3997,121.2664,China,Shandong
Quanzhou,24.9139,118.5858,China,Fujian
Hangzhou,30.25,120.1675,China,Zhejiang
Miami,25.7839,-80.2102,United States,Florida
Kunming,25.0433,102.7061,China,Yunnan
Nanchong,30.7991,106.0784,China,Sichuan
Zunyi,27.705,106.9336,China,Guizhou
Lu'an,31.7542,116.5078,China,Anhui
Yichun,27.8041,114.383,China,Jiangxi
Taizhou,28.6583,121.4221,China,Zhejiang
Liaocheng,36.45,115.9833,China,Shandong
Qujing,25.5102,103.8029,China,Yunnan
Xiangyang,32.0654,112.1531,China,Hubei
Surat,21.17,72.83,India,Gujarāt
Baghdad,33.35,44.4167,Iraq,Baghdād
Qingdao,36.1167,120.4,China,Shandong
Singapore,1.3,103.8,Singapore,Central Singapore
Dallas,32.7936,-96.7662,United States,Texas
Changde,29.0397,111.6839,China,Hunan
Dazhou,31.2152,107.4947,China,Sichuan
Suzhou,33.6333,116.9683,China,Anhui
Philadelphia,40.0077,-75.1339,United States,Pennsylvania
Jieyang,23.5533,116.3649,China,Guangdong
Nairobi,-1.2864,36.8172,Kenya,Nairobi City
Nangandao,35.2992,113.8851,China,Henan
Ankara,39.93,32.85,Turkey,Ankara
Tai'an,36.2001,117.0809,China,Shandong
Yulin,22.6293,110.1507,China,Guangxi
Dezhou,37.4513,116.3105,China,Shandong
Houston,29.7863,-95.3889,United States,Texas
Atlanta,33.7627,-84.4224,United States,Georgia
Rangoon,16.8,96.15,Burma,Yangon
Toronto,43.7417,-79.3733,Canada,Ontario
Suihua,46.6384,126.9808,China,Heilongjiang
Washington,38.9047,-77.0163,United States,District of Columbia
Qiqihar,47.3398,123.9512,China,Heilongjiang
Jinhua,29.1046,119.6494,China,Zhejiang
Saint Petersburg,59.95,30.3167,Russia,Sankt-Peterburg
Shantou,23.3735,116.6941,China,Guangdong
Sydney,-33.865,151.2094,Australia,New South Wales
Weinan,34.4996,109.4684,China,Shaanxi
Suqian,33.9331,118.2831,China,Jiangsu
Guadalajara,20.6767,-103.3475,Mexico,Jalisco
Suzhou,31.304,120.6164,China,Jiangsu
Fuzhou,26.0769,119.2917,China,Fujian
Zhaotong,27.3328,103.7144,China,Yunnan
Pudong,31.2231,121.5397,China,Shanghai
Yongzhou,26.4515,111.5953,China,Hunan
Belo Horizonte,-19.8917,-43.9478,Brazil,Minas Gerais
Zhangzhou,24.5093,117.6612,China,Fujian
Bozhou,33.8626,115.7742,China,Anhui
Melbourne,-37.8136,144.9631,Australia,Victoria
Nanchang,28.6842,115.8872,China,Jiangxi
Xianyang,34.35,108.7167,China,Shaanxi
Taizhou,32.4831,119.9,China,Jiangsu
Surabaya,-7.2458,112.7378,Indonesia,Jawa Timur
Abidjan,5.3364,-4.0267,Côte D’Ivoire,Abidjan
Ji'an,27.1172,114.9793,China,Jiangxi
Mianyang,31.4669,104.7385,China,Sichuan
Shaoxing,30,120.5833,China,Zhejiang
Alexandria,31.2,29.9167,Egypt,Al Iskandarīyah
Yuncheng,35.0304,110.998,China,Shanxi
Pingdingshan,33.735,113.2999,China,Henan
Huai'an,33.5,119.1331,China,Jiangsu
Xinpu,34.5906,119.1801,China,Jiangsu
Guilin,25.2667,110.2833,China,Guangxi
Huaihua,27.5494,109.9592,China,Hunan
Jiujiang,29.7048,116.0021,China,Jiangxi
Anqing,30.5,117.0333,China,Anhui
Boston,42.3188,-71.0846,United States,Massachusetts
Huanglongsi,34.7936,114.3403,China,Henan
Xiaoganzhan,30.9273,113.911,China,Hubei
Changzhou,31.8122,119.9692,China,Jiangsu
Barcelona,41.3825,2.1769,Spain,Catalonia
Chenzhou,25.7989,113.0267,China,Hunan
Wuxi,31.5667,120.2833,China,Jiangsu
Zibo,36.7831,118.0497,China,Shandong
Jiaxing,30.7522,120.75,China,Zhejiang
Dalian,38.9131,121.61,China,Liaoning
Harbin,45.75,126.6333,China,Heilongjiang
Yangzhou,32.3912,119.4363,China,Jiangsu
Yibin,28.7596,104.64,China,Sichuan
Jiangmen,22.5833,113.0833,China,Guangdong
Johannesburg,-26.2044,28.0416,South Africa,Gauteng
Meizhou,24.2998,116.1191,China,Guangdong
Chifeng,42.2663,118.9223,China,Inner Mongolia
Casablanca,33.5992,-7.62,Morocco,Casablanca-Settat
Guiyang,26.5794,106.7078,China,Guizhou
Langfang,39.5196,116.7006,China,Hebei
Zhangjiakou,40.8108,114.8811,China,Hebei
Izmir,38.4127,27.1384,Turkey,İzmir
Linfen,36.0812,111.5087,China,Shanxi
Wenzhou,27.9991,120.6561,China,Zhejiang
Monterrey,25.6667,-100.3,Mexico,Nuevo León
Luzhou,28.8918,105.4409,China,Sichuan
Jiangguanchi,34.0244,113.8201,China,Henan
Neijiang,29.5872,105.0635,China,Sichuan
Phoenix,33.5722,-112.0891,United States,Arizona
Yanjiang,30.1256,104.6397,China,Sichuan
Yiyang,28.5833,112.3333,China,Hunan
Zhaoqing,23.047,112.465,China,Guangdong
Hengshui,37.7348,115.686,China,Hebei
Guigang,23.0961,109.6092,China,Guangxi
Xiaoxita,30.7083,111.2803,China,Hubei
Xiamen,24.4797,118.0819,China,Fujian
Chuzhou,32.3062,118.3115,China,Anhui
Fuzhou,27.9814,116.3577,China,Jiangxi
Amman,31.95,35.9333,Jordan,Al ‘Āşimah
Jeddah,21.5428,39.1728,Saudi Arabia,Makkah al Mukarramah
Sialkot City,32.5,74.5333,Pakistan,Punjab
Huizhou,23.1115,114.4152,China,Guangdong
Qingyuan,23.6842,113.0507,China,Guangdong
Zhuzhou,27.8407,113.1469,China,Hunan
Wuhu,31.334,118.3622,China,Anhui
Hechi,23.0965,109.6091,China,Guangxi
Seattle,47.6211,-122.3244,United States,Washington
Loudi,27.7378,111.9974,China,Hunan
Binzhou,37.3806,118.0125,China,Shandong
Liuzhou,24.3181,109.4069,China,Guangxi
Yokohama,35.4333,139.6333,Japan,Kanagawa
Baojishi,34.3609,107.1751,China,Shaanxi
Guang'an,30.4673,106.6336,China,Sichuan
Hanzhong,33.0794,107.026,China,Shaanxi
Kabul,34.5328,69.1658,Afghanistan,Kābul
Zaozhuang,34.8667,117.55,China,Shandong
Berlin,52.5167,13.3833,Germany,Berlin
Anshan,41.1066,122.9895,China,Liaoning
Deyang,31.1289,104.395,China,Sichuan
Lanzhou,36.0617,103.8318,China,Gansu
Chengde,40.9739,117.9322,China,Hebei
San Francisco,37.7562,-122.443,United States,California
Puyang,35.7639,115.03,China,Henan
Suining,30.5098,105.5737,China,Sichuan
Jiaozuo,35.229,113.2304,China,Henan
Bengbu,32.9354,117.3531,China,Anhui
Montreal,45.5089,-73.5617,Canada,Quebec
Detroit,42.3834,-83.1024,United States,Michigan
Baicheng,23.901,106.6194,China,Guangxi
Busan,35.1,129.0403,"Korea, South",Busan
Algiers,36.7764,3.0586,Algeria,Alger
Qincheng,34.5809,105.7311,China,Gansu
Taiyuan,37.8733,112.5425,China,Shanxi
Lucknow,26.847,80.947,India,Uttar Pradesh
Chaoyang,41.5757,120.4486,China,Liaoning
Hechi,24.6928,108.085,China,Guangxi
Leshan,29.5854,103.7575,China,Sichuan
Yulinshi,38.2655,109.7388,China,Shaanxi
Siping,43.1715,124.3644,China,Jilin
Madrid,40.4189,-3.6919,Spain,Madrid
Jinan,36.6667,116.9833,China,Shandong
Shiyan,32.6351,110.7755,China,Hubei
Changzhi,36.1953,113.097,China,Shanxi
San Diego,32.8312,-117.1225,United States,California
Faisalabad,31.418,73.079,Pakistan,Punjab
Santa Cruz,-17.7892,-63.1975,Bolivia,Santa Cruz
Bazhou,31.8576,106.7559,China,Sichuan
Zhongshan,22.5333,113.35,China,Guangdong
Zhenjiang,32.2109,119.4551,China,Jiangsu
Urumqi,43.825,87.6,China,Xinjiang
Tongliao,43.6172,122.264,China,Inner Mongolia
Heyuan,23.7503,114.6923,China,Guangdong
Tongren,27.7233,109.1885,China,Guizhou
Qinzhou,21.95,108.6167,China,Guangxi
Jaipur,26.9167,75.8667,India,Rājasthān
Xinzhou,38.4178,112.7233,China,Shanxi
Addis Ababa,9.0272,38.7369,Ethiopia,Ādīs Ābeba
Giza,29.987,31.2118,Egypt,Al Jīzah
Meishan,30.0575,103.8381,China,Sichuan
Brasilia,-15.7744,-48.0773,Brazil,Distrito Federal
Mashhad,36.3069,59.6042,Iran,Khorāsān-e Raẕavī
Jinzhou,41.1144,121.1292,China,Liaoning
Tieling,42.2841,123.8365,China,Liaoning
Shaoguan,24.8011,113.5927,China,Guangdong
Shanwei,22.7664,115.3331,China,Guangdong
Minneapolis,44.9635,-93.2678,United States,Minnesota
Kyiv,50.45,30.5236,Ukraine,"Kyyiv, Misto"
Sanaa,15.35,44.2,Yemen,Amānat al ‘Āşimah
Quezon City,14.6333,121.0333,Philippines,Quezon
Dingxi,35.5806,104.6263,China,Gansu
Salvador,-12.9708,-38.5108,Brazil,Bahia
Incheon,37.4639,126.6486,"Korea, South",Incheon
Bursa,40.1833,29.0667,Turkey,Bursa
Ningde,26.6667,119.5167,China,Fujian
Tampa,27.9942,-82.4451,United States,Florida
Daqing,46.5979,125.008,China,Heilongjiang
Birmingham,52.48,-1.9025,United Kingdom,Birmingham
Putian,25.4394,119.0103,China,Fujian
Huzhou,30.8695,120.0958,China,Zhejiang
Wuzhou,23.4833,111.3167,China,Guangxi
Denver,39.7621,-104.8759,United States,Colorado
Rome,41.8931,12.4828,Italy,Lazio
La Paz,-16.4942,-68.1475,Bolivia,La Paz
Pyongyang,39.03,125.73,"Korea, North",P’yŏngyang
Kano,12,8.5167,Nigeria,Kano
Taichung,24.15,120.6667,Taiwan,Taichung
Omdurman,15.6835,32.4629,Sudan,Khartoum
Zigong,29.3498,104.7645,China,Sichuan
Qinhuangdao,39.9398,119.5881,China,Hebei
Mudanjiang,44.5861,129.5997,China,Heilongjiang
Huludao,40.7094,120.8378,China,Liaoning
Kaohsiung,22.6167,120.3,Taiwan,Kaohsiung
Xiangtan,27.8431,112.9228,China,Hunan
Guayaquil,-2.1833,-79.8833,Ecuador,Guayas
Rizhao,35.4164,119.4331,China,Shandong
Manchester,53.4794,-2.2453,United Kingdom,Manchester
Cawnpore,26.4725,80.3311,India,Uttar Pradesh
Baotou,40.6562,109.8345,China,Inner Mongolia
Taipei,25.0478,121.5319,Taiwan,Taipei
Nanping,26.6448,118.1728,China,Fujian
Longyan,25.0881,117.0244,China,Fujian
Ibadan,7.3964,3.9167,Nigeria,Oyo
Hohhot,40.8151,111.6629,China,Inner Mongolia
Chaozhou,23.67,116.63,China,Guangdong
Antananarivo,-18.9386,47.5214,Madagascar,Antananarivo
Longba,33.535,105.349,China,Gansu
Weihai,37.5,122.1,China,Shandong
Chattogram,22.335,91.8325,Bangladesh,Chittagong
Santo Domingo,18.4764,-69.8933,Dominican Republic,Ozama
Xuanzhou,30.9475,118.7518,China,Anhui
Sanming,26.2658,117.6302,China,Fujian
Brooklyn,40.6501,-73.9496,United States,New York
Medellin,6.2447,-75.5748,Colombia,Antioquia
Brisbane,-27.4678,153.0281,Australia,Queensland
Baoshan,25.1211,99.169,China,Yunnan
Dubai,25.2697,55.3094,United Arab Emirates,Dubayy
Luohe,33.583,114.0109,China,Henan
Qinbaling,35.7278,107.64,China,Gansu
Mirzapur,25.15,82.58,India,Uttar Pradesh
Guangyuan,32.4353,105.8398,China,Sichuan
Cali,3.44,-76.5197,Colombia,Valle del Cauca
Daegu,35.8667,128.6,"Korea, South",Daegu
Fortaleza,-3.7275,-38.5275,Brazil,Ceará
Guatemala City,14.6099,-90.5252,Guatemala,Guatemala
Yaounde,3.8578,11.5181,Cameroon,Centre
Douala,4.05,9.7,Cameroon,Littoral
Jilin,43.85,126.55,China,Jilin
Lianshan,40.7503,120.83,China,Liaoning
Lincang,23.8864,100.0871,China,Yunnan
Antalya,36.9081,30.6956,Turkey,Antalya
Tashkent,41.3,69.2667,Uzbekistan,Toshkent
Huangshi,30.2018,115.0326,China,Hubei
Bandung,-6.95,107.5667,Indonesia,Jawa Barat
Nagpur,21.1539,79.0831,India,Mahārāshtra
Dandong,40.1167,124.3833,China,Liaoning
Huainan,32.4831,117.0164,China,Anhui
Shangzhou,33.868,109.9244,China,Shaanxi
Bekasi,-6.2333,107,Indonesia,Jawa Barat
Ghaziabad,28.6667,77.4167,India,Uttar Pradesh
Tijuana,32.525,-117.0333,Mexico,Baja California
Jiamusi,46.8081,130.3653,China,Heilongjiang
Yangjiang,21.8556,111.9627,China,Guangdong
Accra,5.6037,-0.187,Ghana,Greater Accra
Yuxi,24.3495,102.5432,China,Yunnan
Fushun,41.8708,123.8917,China,Liaoning
Anshun,26.2456,105.934,China,Guizhou
Vancouver,49.25,-123.1,Canada,British Columbia
Tangerang,-6.1783,106.6319,Indonesia,Jawa Barat
Konya,37.8714,32.4847,Turkey,Konya
Queens,40.7498,-73.7976,United States,New York
Yingkou,40.6653,122.2297,China,Liaoning
Adana,37,35.325,Turkey,Adana
Medan,3.6667,98.6667,Indonesia,Sumatera Utara
Sanmenxia,34.7736,111.195,China,Henan
Indore,22.7206,75.8472,India,Madhya Pradesh
Ma'anshan,31.7135,118.3605,China,Anhui
Pingliang,35.5412,106.6819,China,Gansu
Quzhou,28.9545,118.8763,China,Zhejiang
Baku,40.3667,49.8352,Azerbaijan,Bakı
Gaoping,30.7804,106.13,China,Sichuan
Huaibei,33.9562,116.789,China,Anhui
Xining,36.6239,101.7787,China,Qinghai
Yan'an,36.5952,109.4863,China,Shaanxi
Havana,23.1367,-82.3589,Cuba,La Habana
Phnom Penh,11.5696,104.921,Cambodia,Phnom Penh
Fukuoka,33.5903,130.4019,Japan,Fukuoka
Mogadishu,2.0408,45.3425,Somalia,Banaadir
Jincheng,35.4906,112.8483,China,Shanxi
Lishui,28.45,119.9167,China,Zhejiang
Qingyang,24.8141,118.5792,China,Fujian
Riverside,33.9381,-117.3948,United States,California
Baltimore,39.3051,-76.6144,United States,Maryland
Haiphong,20.8,106.6667,Vietnam,Hải Phòng
Las Vegas,36.2333,-115.2654,United States,Nevada
Laibin,23.7333,109.2333,China,Guangxi
Rawalpindi,33.6007,73.0679,Pakistan,Punjab
Kumasi,6.6833,-1.6167,Ghana,Ashanti
Portland,45.5372,-122.65,United States,Oregon
Vadodara,22.3,73.2,India,Gujarāt
Perth,-31.9522,115.8589,Australia,Western Australia
Puning,23.2993,116.1586,China,Guangdong
San Antonio,29.4658,-98.5253,United States,Texas
Haikou,20.02,110.32,China,Hainan
Vishakhapatnam,17.7333,83.3167,India,Andhra Pradesh
Gaziantep,37.0667,37.3833,Turkey,Gaziantep
Minsk,53.9022,27.5618,Belarus,Minsk
St. Louis,38.6358,-90.2451,United States,Missouri
Bamako,12.6458,-7.9922,Mali,Bamako
Quito,-0.2186,-78.5097,Ecuador,Pichincha
Pingxiang,27.6333,113.85,China,Jiangxi
Chongzuo,22.4167,107.3667,China,Guangxi
Sanliurfa,37.1583,38.7917,Turkey,Şanlıurfa
Kananga,-5.897,22.4488,Congo (Kinshasa),Kasaï Central
Peshawar,34,71.5,Pakistan,Khyber Pakhtunkhwa
Sapporo,43.0621,141.3544,Japan,Hokkaidō
Jixi,45.2937,130.965,China,Heilongjiang
Caracas,10.5,-66.9333,Venezuela,Distrito Capital
Fuxin,42.0127,121.6486,China,Liaoning
Leeds,53.7997,-1.5492,United Kingdom,Leeds
Sacramento,38.5667,-121.4683,United States,California
Blantyre,-15.7861,35.0058,Malawi,Blantyre
Tainan,22.9833,120.1833,Taiwan,Tainan
Bucharest,44.4,26.0833,Romania,Bucureşti
Wuwei,37.9278,102.6329,China,Gansu
Bhopal,23.25,77.4167,India,Madhya Pradesh
Curitiba,-25.4297,-49.2719,Brazil,Paraná
Xiping,40.08,113.3,China,Shanxi
Asuncion,-25.3,-57.6333,Paraguay,Asunción
Saidu Sharif,34.75,72.3572,Pakistan,Khyber Pakhtunkhwa
Vienna,48.2083,16.3731,Austria,Wien
Aleppo,36.2,37.15,Syria,Ḩalab
Hamburg,53.55,10,Germany,Hamburg
Meru,0.05,37.65,Kenya,Meru
Brazzaville,-4.2667,15.2833,Congo (Brazzaville),Brazzaville
Orlando,28.4772,-81.3369,United States,Florida
Mersin,36.8,34.6167,Turkey,Mersin
Almaty,43.25,76.9,Kazakhstan,Almaty
Barranquilla,10.96,-74.8,Colombia,Atlántico
Kyoto,35.0111,135.7669,Japan,Kyōto
Manaus,-3.1,-60.0167,Brazil,Amazonas
Liaoyang,41.2643,123.1772,China,Liaoning
Baiyin,36.5448,104.1766,China,Gansu
San Jose,37.3019,-121.8486,United States,California
Warsaw,52.2167,21.0333,Poland,Mazowieckie
Shengli,37.45,118.4667,China,Shandong
Lubumbashi,-11.6697,27.4581,Congo (Kinshasa),Haut-Katanga
Damascus,33.5131,36.2919,Syria,Dimashq
Shuyangzha,34.1299,118.7734,China,Jiangsu
Shangqiu,34.4504,115.65,China,Henan
Esfahan,32.6447,51.6675,Iran,Eşfahān
Budapest,47.4983,19.0408,Hungary,Budapest
Heihe,50.2458,127.4886,China,Heilongjiang
Lusaka,-15.4167,28.2833,Zambia,Lusaka
Diyarbakir,37.9108,40.2367,Turkey,Diyarbakır
Chinchvad,18.6278,73.8131,India,Mahārāshtra
Shuozhou,39.3408,112.4292,China,Shanxi
Vitoria,-20.324,-40.366,Brazil,Espírito Santo
Cleveland,41.4767,-81.6804,United States,Ohio
Pittsburgh,40.4396,-79.9762,United States,Pennsylvania
Mecca,21.4225,39.8261,Saudi Arabia,Makkah al Mukarramah
Patna,25.61,85.1414,India,Bihār
Mosul,36.3667,43.1167,Iraq,Nīnawá
Austin,30.3004,-97.7522,United States,Texas
Sanzhou,30.82,108.4,China,Chongqing
Conakry,9.5092,-13.7122,Guinea,Conakry
Kampala,0.3136,32.5811,Uganda,Kampala
Ecatepec,19.6097,-99.06,Mexico,México
Cincinnati,39.1413,-84.5061,United States,Ohio
Makassar,-5.1331,119.4136,Indonesia,Sulawesi Selatan
Yushan,31.3867,120.9766,China,Jiangsu
Ludhiana,30.9083,75.8486,India,Punjab
Newcastle,55.0077,-1.6578,United Kingdom,Newcastle upon Tyne
Depok,-6.394,106.8225,Indonesia,Jawa Barat
Zhongli,24.965,121.2168,Taiwan,Taoyuan
Kansas City,39.1239,-94.5541,United States,Missouri
Rabat,34.0253,-6.8361,Morocco,Rabat-Salé-Kénitra
Ouagadougou,12.3572,-1.5353,Burkina Faso,Centre
Davao,7.0667,125.6,Philippines,Davao
Manhattan,40.7834,-73.9662,United States,New York
Semarang,-6.9667,110.4167,Indonesia,Jawa Tengah
Yinchuan,38.4795,106.2254,China,Ningxia
Multan,30.1978,71.4711,Pakistan,Punjab
Caloocan City,14.65,120.9667,Philippines,Caloocan
Harare,-17.8292,31.0522,Zimbabwe,Harare
Novosibirsk,55.0333,82.9167,Russia,Novosibirskaya Oblast’
Chengtangcun,35.0833,117.15,China,Shandong
Agra,27.18,78.02,India,Uttar Pradesh
Karaj,35.8327,50.9915,Iran,Alborz
Indianapolis,39.7771,-86.1458,United States,Indiana
Jingdezhen,29.2942,117.2036,China,Jiangxi
Puebla,19.0333,-98.1833,Mexico,Puebla
Kalyan,19.2502,73.1602,India,Mahārāshtra
Madurai,9.9197,78.1194,India,Tamil Nādu
Gujranwala,32.15,74.1833,Pakistan,Punjab
Benxi,41.292,123.761,China,Liaoning
Jamshedpur,22.8,86.1833,India,Jharkhand
Zhuhai,22.2769,113.5678,China,Guangdong
Recife,-8.0539,-34.8808,Brazil,Pernambuco
Columbus,39.9862,-82.985,United States,Ohio
Tabriz,38.0833,46.2833,Iran,Āz̄arbāyjān-e Sharqī
Santiago,19.5,-70.67,Dominican Republic,Cibao Norte
Maracaibo,10.6333,-71.6333,Venezuela,Zulia
Beihai,21.4667,109.1,China,Guangxi
Shuangyashan,46.6388,131.1545,China,Heilongjiang
Kobe,34.6913,135.183,Japan,Hyōgo
Charlotte,35.208,-80.8304,United States,North Carolina
Yucheng,29.9888,103.0007,China,Sichuan
Changshu,31.65,120.7333,China,Jiangsu
Ximeicun,24.9633,118.3811,China,Fujian
Jianguang,28.1958,115.7833,China,Jiangxi
Gwangju,35.1667,126.9167,"Korea, South",Gwangju
Xushan,30.1697,121.2665,China,Zhejiang
Guiping,23.4,110.0833,China,Guangxi
Nasik,20,73.7833,India,Mahārāshtra
Porto Alegre,-30.0328,-51.23,Brazil,Rio Grande do Sul
Zhangjiajie,29.1255,110.4844,China,Hunan
Valencia,10.1667,-68,Venezuela,Carabobo
Virginia Beach,36.7335,-76.0435,United States,Virginia
Daejeon,36.351,127.385,"Korea, South",Daejeon
Munich,48.1372,11.5755,Germany,Bavaria
Yekaterinburg,56.8356,60.6128,Russia,Sverdlovskaya Oblast’
Auckland,-36.85,174.7833,New Zealand,Auckland
Yunfu,22.9242,112.0353,China,Guangdong
Huangshan,29.7132,118.3151,China,Anhui
Huazhou,32.6832,112.079,China,Henan
Shiraz,29.61,52.5425,Iran,Fārs
Leon de los Aldama,21.1167,-101.6833,Mexico,Guanajuato
Pizhou,34.3422,118.0097,China,Jiangsu
Palembang,-2.9833,104.7644,Indonesia,Sumatera Selatan
Kharkiv,50,36.2292,Ukraine,Kharkivs’ka Oblast’
Kawanakajima,35.53,139.705,Japan,Kanagawa
Lianjiang,21.6146,110.2794,China,Guangdong
Chizhou,30.6583,117.4849,China,Anhui
Leizhou,20.9147,110.0806,China,Guangdong
Guyuan,36.008,106.2782,China,Ningxia
Rui'an,27.778,120.6526,China,Zhejiang
Birstall,52.6736,-1.12,United Kingdom,Leicester
Muscat,23.6139,58.5922,Oman,Masqaţ
Hebi,35.7497,114.2887,China,Henan
Jingling,30.6667,113.1667,China,Hubei
Bronx,40.8501,-73.8662,United States,New York
The Hague,52.08,4.27,Netherlands,Zuid-Holland
Owerri,5.4833,7.0333,Nigeria,Imo
Sharjah,25.3575,55.3919,United Arab Emirates,Ash Shāriqah
Faridabad,28.4333,77.3167,India,Haryāna
Ulaanbaatar,47.9203,106.9172,Mongolia,Ulaanbaatar
Goiania,-16.6789,-49.2539,Brazil,Goiás
Belem,-1.4558,-48.5039,Brazil,Pará
Kayseri,38.7333,35.4833,Turkey,Kayseri
Yueqing,28.1188,120.9621,China,Zhejiang
Belgrade,44.8167,20.4667,Serbia,Beograd
Pingdu,36.7833,119.9556,China,Shandong
Aurangabad,19.88,75.32,India,Mahārāshtra
Yutan,28.3147,112.554,China,Hunan
Wenling,28.3797,121.3718,China,Zhejiang
Islamabad,33.6989,73.0369,Pakistan,Islāmābād
Milwaukee,43.0642,-87.9673,United States,Wisconsin
Milan,45.4669,9.19,Italy,Lombardy
Sofia,42.6975,23.3241,Bulgaria,Sofia-Grad
Adelaide,-34.9289,138.6011,Australia,South Australia
Samsun,41.2867,36.33,Turkey,Samsun
Rajkot,22.2969,70.7984,India,Gujarāt
Khulna,22.8167,89.55,Bangladesh,Khulna
Cordoba,-31.4167,-64.1833,Argentina,Córdoba
Guarulhos,-23.4667,-46.5333,Brazil,São Paulo
Juarez,31.7386,-106.487,Mexico,Chihuahua
Prague,50.0833,14.4167,Czechia,"Praha, Hlavní Město"
Montevideo,-34.8667,-56.1667,Uruguay,Montevideo
